日期,国家,省州,累计确诊,累计治愈,累计死亡
2020/11/23,Australia,Australian Capital Territory,115,111,3
2020/11/23,Chad,,1648,1476,101
2020/11/23,Brunei,,149,145,3
2020/11/23,Philippines,,420614,386604,8173
2020/11/23,Iran,,866821,610406,45255
2020/11/23,Ukraine,,653442,303782,11423
2020/11/23,United Kingdom,Bermuda,227,200,9
2020/11/23,Djibouti,,5668,5555,61
2020/11/23,Mexico,,1049358,784693,101926
2020/11/23,Pakistan,,379883,331760,7744
2020/11/23,Canada,Newfoundland and Labrador,321,,4
2020/11/23,Malaysia,,56659,42480,337
2020/11/23,Indonesia,,502110,422386,16002
2020/11/23,Poland,,876333,438868,13774
2020/11/23,Australia,South Australia,557,514,4
2020/11/23,Burkina Faso,,2754,2552,68
2020/11/23,France,Martinique,4732,98,37
2020/11/23,Trinidad and Tobago,,6475,5622,115
2020/11/23,India,,9177840,8604955,134218
2020/11/23,Gabon,,9150,8999,59
2020/11/23,Central African Republic,,4911,1924,63
2020/11/23,Madagascar,,17341,16657,251
2020/11/23,Togo,,2854,2274,64
2020/11/23,United Kingdom,Falkland Islands (Malvinas),16,13,0
2020/11/23,Argentina,,1374631,1203800,37122
2020/11/23,Diamond Princess,,712,659,13
2020/11/23,Canada,Manitoba,14087,,236
2020/11/24,Canada,Repatriated Travellers,13,,0
2020/11/24,Central African Republic,,4911,1924,63
2020/11/24,Panama,,156930,138007,2986
2020/11/24,Canada,Saskatchewan,6883,,37
2020/11/24,Nepal,,224078,204858,1361
2020/11/24,France,Wallis and Futuna,0,0,0
2020/11/24,Cyprus,,9199,2055,46
2020/11/24,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",3,3,0
2020/11/24,Malawi,,6017,5445,185
2020/11/24,Zimbabwe,,9398,8297,274
2020/11/24,Marshall Islands,,4,1,0
2020/11/24,Samoa,,1,0,0
2020/11/24,Bhutan,,386,363,0
2020/11/24,Vietnam,,1316,1153,35
2020/11/24,Australia,Victoria,20345,19526,819
2020/11/24,Canada,Yukon,38,,1
2020/11/24,Netherlands,Sint Maarten,1020,906,25
2020/11/24,United Kingdom,Turks and Caicos Islands,746,700,6
2020/11/24,Egypt,,113742,102103,6573
2020/11/24,Canada,Quebec,134330,,6973
2020/11/24,Australia,South Australia,558,516,4
2020/11/24,Romania,,430605,304188,10373
2020/11/24,Nicaragua,,5784,4225,160
2020/11/24,Norway,,33717,17998,314
2020/11/24,Bosnia and Herzegovina,,81739,47525,2394
2020/11/24,Malta,,9137,6938,117
2020/11/24,Sudan,,16649,9854,1202
2020/11/24,Canada,Grand Princess,13,,0
2020/11/24,Switzerland,,304593,211500,4308
2020/11/24,Zambia,,17466,16707,357
2020/11/24,Mauritius,,494,433,10
2020/11/24,Angola,,14742,7444,338
2020/11/24,US,,12697001,4696664,262697
2020/11/24,Finland,,22289,15300,384
2020/11/24,Gabon,,9150,8999,59
2020/11/24,Burma,,82236,60965,1784
2020/11/24,France,New Caledonia,32,32,0
2020/11/24,Pakistan,,382892,332974,7803
2020/11/24,Mexico,,1060152,791516,102739
2020/11/24,Turkey,,460916,381569,12672
2020/11/24,Mongolia,,699,342,0
2020/11/24,Kyrgyzstan,,70366,61593,1241
2020/11/24,Costa Rica,,133190,81973,1662
2020/11/24,Benin,,2916,2579,43
2020/11/24,United Kingdom,Falkland Islands (Malvinas),16,13,0
2020/11/24,Canada,British Columbia,28348,,358
2020/11/24,Mali,,4417,3054,148
2020/11/24,Portugal,,268721,184233,4056
2020/11/24,West Bank and Gaza,,75007,60009,656
2020/11/24,South Sudan,,3047,1290,60
2020/11/24,United Arab Emirates,,161365,150261,559
2020/11/24,Ecuador,,186436,164009,13264
2020/11/24,Somalia,,4445,3412,113
2020/11/24,Denmark,,73021,57075,797
2020/11/24,Albania,,34300,16666,735
2020/11/24,Morocco,,331527,279276,5469
2020/11/24,Suriname,,5300,5177,117
2020/11/24,France,Saint Pierre and Miquelon,16,12,0
2020/11/24,Bahamas,,7460,5708,163
2020/11/24,Botswana,,9992,7692,31
2020/11/24,Canada,Nunavut,144,,0
2020/11/24,Canada,Prince Edward Island,69,,0
2020/11/24,Australia,New South Wales,4552,0,53
2020/11/24,France,Martinique,5413,98,37
2020/11/24,United Kingdom,British Virgin Islands,71,70,1
2020/11/24,Sri Lanka,,20967,14962,94
2020/11/24,Ireland,,70930,23364,2028
2020/11/24,Canada,Diamond Princess,0,,1
2020/11/24,France,French Guiana,11079,9995,70
2020/11/24,Austria,,254710,182620,2577
2020/11/24,Netherlands,"Bonaire, Sint Eustatius and Saba",161,155,3
2020/11/24,Russia,,2120836,1621465,36675
2020/11/24,France,Reunion,7689,6660,35
2020/11/24,Australia,Northern Territory,48,41,0
2020/11/24,Libya,,79180,50304,1110
2020/11/24,Algeria,,77000,50070,2309
2020/11/24,Japan,,135786,112385,1963
2020/11/24,Canada,Alberta,49536,,492
2020/11/24,Spain,,1594844,150376,43668
2020/11/24,Iceland,,5298,5086,26
2020/11/24,Latvia,,13693,1651,175
2020/11/24,Kuwait,,140795,133407,870
2020/11/24,Peru,,950557,882600,35641
2020/11/24,Cameroon,,23869,22177,436
2020/11/24,Equatorial Guinea,,5137,5005,85
2020/11/24,Andorra,,6351,5503,76
2020/11/24,Ethiopia,,106591,66018,1661
2020/11/24,Greece,,95137,23074,1815
2020/11/24,Liberia,,1551,1331,82
2020/11/24,Comoros,,607,579,7
2020/11/24,Barbados,,262,242,7
2020/11/24,Uganda,,18406,8764,186
2020/11/24,Cote d'Ivoire,,21156,20833,131
2020/11/24,United Kingdom,Anguilla,4,3,0
2020/11/24,Eritrea,,558,473,0
2020/11/24,Netherlands,,493744,0,9035
2020/11/24,Seychelles,,166,159,0
2020/11/24,Togo,,2872,2295,64
2020/11/24,New Zealand,,2039,1955,25
2020/11/24,Saudi Arabia,,355741,344311,5811
2020/11/24,France,Saint Barthelemy,127,94,0
2020/11/24,Eswatini,,6247,5878,120
2020/11/24,Guatemala,,119349,108338,4099
